Molecule_Name,Database_ID,Canonical_SMILES,Target_Pathway_or_Gene,Assay_Type_and_System,Biological_Activity,Academic_Reference,Molecular_Weight,LogP,TPSA,HBD,HBA,Rotatable_Bonds,Aromatic_Rings,Fraction_CSP3,Heavy_Atoms,QED_Drug_Likeness,Pharmacological_Category,Predicted_Potency_Class,Potency_Code
Trametinib,PubChem CID: 11707110 / ChEMBL2105759,Cc1c(C)n(-c2ccc(I)cc2)c(=O)n(-c2c(F)cc(I)cc2Nc2c(C(=O)NO)ccc(F)c2F)c1=O,Ras/MAPK pathway (Drosophila Dsor1 / MEK1/2),In vivo Larval eye disc (RasV12/scrib-/- invasion model),Tumor suppression & rescue of pupation at 10 uM,PMID: 26084728 / DOI: 10.1038/nature14481,748.24,5.09,105.36,3,5,5,4,0.08,38,0.15,Hedefe Yönelik İnhibitör,Orta Potans (5-25 uM),1
Cobimetinib,PubChem CID: 25151504 / ChEMBL2386884,O=C(O)c1ccc(F)c(F)c1Nc1c(NC2CCN(C(=O)C3(F)CCC3)CC2)ccc(I)c1F,MEK / MAPK signaling cascade,In vivo Ras-driven epithelial disc hyperplasia,IC50 = 12 nM; Disc rescue at 5 uM,PMID: 29559530 / DOI: 10.1016/j.ccell.2018.02.012,591.34,5.45,81.67,3,4,6,2,0.391,34,0.308,Hedefe Yönelik İnhibitör,Yüksek Potans (Sub-mikromolar / <1-5 uM),2
Gefitinib,PubChem CID: 123631 / ChEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,EGFR pathway (Drosophila Egfr / DER tyrosine kinase),In vivo Egfr/Ras-driven tracheal and eye hyper-growth,EC50 = 5.6 uM (Inhibition of ectopic wing vein formation),PMID: 23685354 / DOI: 10.1016/j.ydbio.2013.04.032,446.91,4.28,68.74,1,7,8,3,0.364,31,0.518,Hedefe Yönelik İnhibitör,Orta Potans (5-25 uM),1
Erlotinib,PubChem CID: 176870 / ChEMBL546,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,EGFR / DER kinase domain ATP binding pocket,In vivo Eye disc rough-eye phenotype rescue,IC50 = 2.1 uM in S2 cells; Eye rescue at 15 uM,PMID: 20182604 / DOI: 10.1158/0008-5472.CAN-09-3972,393.44,3.41,74.73,1,7,10,3,0.273,29,0.418,Hedefe Yönelik İnhibitör,Orta Potans (5-25 uM),1
Sorafenib,PubChem CID: 216239 / ChEMBL1336,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,Raf kinase / Pvr (Drosophila VEGFR/PDGFR homolog),In vivo dRaf/dSrc oncogenic transformation in eye disc,Rescue of rough-eye phenotype at 15 uM,PMID: 24204400 / DOI: 10.1038/onc.2013.468,464.83,5.55,92.35,3,4,5,3,0.095,32,0.461,Hedefe Yönelik İnhibitör,Orta Potans (5-25 uM),1
Vandetanib,PubChem CID: 3081361 / ChEMBL187,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,dRet / Pvr receptor tyrosine kinase,In vivo Medullary Thyroid Carcinoma (MTC) fly model (dRetM955T),Rescue of adult fly viability at 50 uM in food,PMID: 21252291 / DOI: 10.1158/0008-5472.CAN-10-3887,475.36,5.0,59.51,1,6,6,3,0.364,30,0.542,Hedefe Yönelik İnhibitör,Düşük Potans / Diyet Düzeyi (>25 uM),0
AD80,PubChem CID: 56961448 / ChEMBL2387140,Cc1ccc(NC(=O)Nc2cccc(C(F)(F)F)c2)cc1-c1cc2nc(Oc3ccccc3F)ccc2[nH]1,"Multi-kinase polypharmacology: dRet, dSrc, dTor, dS6K",In vivo Drosophila MTC avatar & colon cancer model,Complete rescue of dRet lethality at 10 uM; low toxicity,PMID: 24204400 / DOI: 10.1038/nature11537,520.49,8.13,79.04,3,3,5,5,0.071,38,0.205,Hedefe Yönelik İnhibitör,Orta Potans (5-25 uM),1
Dasatinib,PubChem CID: 3062316 / ChEMBL1421,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,Src42A / Src64B / Btk29A non-receptor tyrosine kinases,In vivo Larval blood cell neoplasia & eye disc invasion,Inhibition of hemocyte invasion at 1.0 uM; IC50 = 85 nM,PMID: 22896590 / DOI: 10.1242/dmm.009712,488.02,3.31,106.51,3,9,7,3,0.364,33,0.466,Hedefe Yönelik İnhibitör,Yüksek Potans (Sub-mikromolar / <1-5 uM),2
Imatinib,PubChem CID: 5291 / ChEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,Abl tyrosine kinase (Drosophila D-Abl),In vivo D-Abl-driven central nervous system tumor overgrowth,Suppression of aberrant axonal midline crossing at 25 uM,PMID: 17482544 / DOI: 10.1016/j.devcel.2007.03.018,493.62,4.59,86.28,2,7,7,4,0.241,37,0.389,Hedefe Yönelik İnhibitör,Orta Potans (5-25 uM),1
Ibrutinib,PubChem CID: 24821094 / ChEMBL180022,C=CC(=O)N1CCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)CC1,Btk29A (Bruton Tyrosine Kinase homolog) covalent inhibitor,In vivo Btk29A-driven eye overgrowth & hemocyte migration,Suppression of aberrant cell motility & growth at 1.0 uM,PMID: 29937388 / DOI: 10.1038/s41416-018-0145-z,440.51,4.22,99.16,1,6,5,4,0.2,33,0.467,Hedefe Yönelik İnhibitör,Yüksek Potans (Sub-mikromolar / <1-5 uM),2
